periodo_txt,periodo,fecha,alim_indice,general_indice,ajuste_pp,ipc_alim_m,ipc_general_m,brecha_m
dic-94,1994-12,1994-12-01,17.0,21.1,,,,
ene-95,1995-01,1995-01-01,17.6,21.5,,3.529411764705892,1.8957345971563955,1.6336771675494965
feb-95,1995-02,1995-02-01,17.8,21.7,,1.1363636363636243,0.9302325581395321,0.20613107822409216
mar-95,1995-03,1995-03-01,17.9,22.1,,0.561797752808979,1.8433179723502446,-1.2815202195412656
abr-95,1995-04,1995-04-01,18.0,22.3,,0.5586592178770999,0.9049773755656076,-0.3463181576885077
may-95,1995-05,1995-05-01,17.8,22.4,15.0,-1.1111111111111072,0.4484304932735439,-1.559541604384651
jun-95,1995-06,1995-06-01,18.1,22.7,,1.6853932584269593,1.3392857142857206,0.3461075441412387
jul-95,1995-07,1995-07-01,18.3,22.9,,1.104972375690605,0.8810572687224738,0.2239151069681311
ago-95,1995-08,1995-08-01,18.0,22.9,,-1.6393442622950838,0.0,-1.6393442622950838
sept-95,1995-09,1995-09-01,17.9,22.9,,-0.5555555555555647,0.0,-0.5555555555555647
oct-95,1995-10,1995-10-01,18.0,23.1,,0.5586592178770999,0.8733624454148492,-0.31470322753774926
nov-95,1995-11,1995-11-01,17.9,23.2,,-0.5555555555555647,0.43290043290042934,-0.988455988455994
dic-95,1995-12,1995-12-01,18.1,23.4,,1.1173184357541999,0.8620689655172376,0.2552494702369623
ene-96,1996-01,1996-01-01,18.6,23.7,,2.7624309392265234,1.2820512820512775,1.4803796571752459
feb-96,1996-02,1996-02-01,18.7,24.2,,0.5376344086021501,2.1097046413502074,-1.5720702327480574
mar-96,1996-03,1996-03-01,18.9,24.5,,1.0695187165775444,1.2396694214876103,-0.1701507049100659
abr-96,1996-04,1996-04-01,19.0,24.7,10.0,0.5291005291005346,0.8163265306122325,-0.28722600151169786
may-96,1996-05,1996-05-01,18.9,24.8,,-0.526315789473697,0.4048582995951566,-0.9311740890688536
jun-96,1996-06,1996-06-01,19.0,24.9,,0.5291005291005346,0.40322580645160144,0.12587472264893318
jul-96,1996-07,1996-07-01,18.9,25.0,,-0.526315789473697,0.40160642570281624,-0.9279222151765132
ago-96,1996-08,1996-08-01,18.9,25.1,,0.0,0.40000000000000036,-0.40000000000000036
sept-96,1996-09,1996-09-01,19.0,25.1,,0.5291005291005346,0.0,0.5291005291005346
oct-96,1996-10,1996-10-01,18.9,25.1,,-0.526315789473697,0.0,-0.526315789473697
nov-96,1996-11,1996-11-01,18.9,25.2,,0.0,0.3984063745019917,-0.3984063745019917
dic-96,1996-12,1996-12-01,18.9,25.3,,0.0,0.3968253968253954,-0.3968253968253954
ene-97,1997-01,1997-01-01,19.0,25.5,10.0,0.5291005291005346,0.7905138339920903,-0.2614133048915557
feb-97,1997-02,1997-02-01,19.3,26.0,,1.5789473684210575,1.9607843137254832,-0.3818369453044257
mar-97,1997-03,1997-03-01,20.1,26.6,,4.145077720207246,2.3076923076923217,1.8373854125149247
abr-97,1997-04,1997-04-01,20.1,26.7,,0.0,0.3759398496240518,-0.3759398496240518
may-97,1997-05,1997-05-01,19.7,26.6,,-1.9900497512437942,-0.3745318352059823,-1.615517916037812
jun-97,1997-06,1997-06-01,20.1,26.8,,2.0304568527918843,0.7518796992481258,1.2785771535437584
jul-97,1997-07,1997-07-01,19.7,26.7,,-1.9900497512437942,-0.3731343283582156,-1.6169154228855787
ago-97,1997-08,1997-08-01,19.6,26.6,,-0.50761421319796,-0.3745318352059823,-0.13308237799197764
sept-97,1997-09,1997-09-01,19.4,26.6,,-1.0204081632653184,0.0,-1.0204081632653184
oct-97,1997-10,1997-10-01,19.3,26.6,,-0.5154639175257603,0.0,-0.5154639175257603
nov-97,1997-11,1997-11-01,19.2,26.6,,-0.5181347150259086,0.0,-0.5181347150259086
dic-97,1997-12,1997-12-01,19.7,26.9,,2.604166666666674,1.1278195488721776,1.4763471177944965
ene-98,1998-01,1998-01-01,20.0,27.2,,1.522842639593902,1.1152416356877248,0.40760100390617726
feb-98,1998-02,1998-02-01,20.4,27.8,,2.0000000000000018,2.205882352941191,-0.20588235294118906
mar-98,1998-03,1998-03-01,21.0,28.4,12.0,2.941176470588247,2.1582733812949506,0.7829030892932964
abr-98,1998-04,1998-04-01,21.6,28.9,,2.857142857142869,1.760563380281699,1.0965794768611703
may-98,1998-05,1998-05-01,22.3,29.7,,3.240740740740744,2.768166089965396,0.4725746507753481
jun-98,1998-06,1998-06-01,22.1,29.7,,-0.8968609865470767,0.0,-0.8968609865470767
jul-98,1998-07,1998-07-01,22.0,29.8,,-0.4524886877828149,0.33670033670034627,-0.7891890244831612
ago-98,1998-08,1998-08-01,22.1,30.3,,0.454545454545463,1.6778523489932917,-1.2233068944478287
sept-98,1998-09,1998-09-01,22.7,30.6,,2.714932126696823,0.990099009900991,1.724833116795832
oct-98,1998-10,1998-10-01,23.0,30.9,,1.3215859030837107,0.9803921568627416,0.3411937462209691
nov-98,1998-11,1998-11-01,22.9,30.9,,-0.43478260869566077,0.0,-0.43478260869566077
dic-98,1998-12,1998-12-01,22.7,30.8,,-0.8733624454148492,-0.3236245954692518,-0.5497378499455974
ene-99,1999-01,1999-01-01,22.6,30.9,,-0.4405286343612258,0.32467532467532756,-0.7652039590365534
feb-99,1999-02,1999-02-01,22.7,31.0,,0.4424778761061843,0.3236245954692629,0.11885328063692135
mar-99,1999-03,1999-03-01,22.5,31.0,,-0.8810572687224627,0.0,-0.8810572687224627
abr-99,1999-04,1999-04-01,22.6,31.2,,0.4444444444444473,0.6451612903225712,-0.20071684587812388
may-99,1999-05,1999-05-01,22.1,31.0,,-2.212389380530977,-0.6410256410256387,-1.5713637395053381
jun-99,1999-06,1999-06-01,21.9,31.0,,-0.9049773755656187,0.0,-0.9049773755656187
